PSME1
ATF1
RHEB
FOXO3
RHOA
IL1B
ASAH1
RALA
ARHGEF12
SOX2
SERPINE1
HLA-DMA
EGF
APP
NOS3
CSNK1A1
NFATC4
TBP
BRCA1
PSMD4
ETV1
TERT
EED
PTK2B
HSPB1
PIK3C3
CBLB
DFFB
TGFB3
PRKX
CCND1
NFKBIB
GLI2
PIK3CA
RPS6
DFFA
SUZ12
TICAM1
EDN1
SQSTM1
HIF1A
PTGS2
PLA2G4A
MAT2A
EIF4G1
BTK
MYL9
PSMD2
CLTC
ALDOA
STAT5B
ETS1
HSPD1
CEBPA
PSMF1
ATF6
RALB
PPARD
STAT3
DNMT3A
RASA1
PSME2
FGFR2
CALM3
ERO1A
APOE
PIK3R4
CSNK1E
SKP1
PROS1
PSMD9
NFKB2
PAK6
GHR
CDK4
PRKAG2
PTPRC
SPTAN1
COL1A1
CDC25A
TP53
EGR1
MUC1
AURKB
NCK2
AURKA
CDK5R1
FYN
NRAS
BNIP3L
MMP2
CDK7
RAC2
HMOX1
COL4A1
ICAM1
C5
NFKBIA
NFKBIE
CCNH
HMGA2
IGFBP3
FRS2
IFNAR1
MIF
DAG1
IGF2BP2
ERBB3
FZD1
PIK3R3
TFDP1
SYK
EIF4EBP1
CCND3
PTPN6
DUSP4
RB1
PARP1
CDK6
PSMB10
FOSL1
E2F2
CRK
HSPA8
CCNB1
NFATC3
PCNA
PSMB8
PRKCQ
SUV39H1
BIRC2
PAK1
CDC42
CCNE2
SNAP25
PGAM1
NCK1
CD40
DAXX
CDC20
CCL2
SRC
BMP4
MNAT1
TLR4
IKZF1
EPHA3
CASP10
CASP7
TGFBR2
NOTCH1
SHC1
SIRT3
CYCS
GNAI1
FBXO11
MEF2C
DUSP3
PPP1R13B
PRKCH
CCNA1
BAX
RPS5
SNCA
CHP1
SPP1
AXIN1
CASP2
FZD7
DUSP6
ADRB2
MMP1
CDC25B
EPHB2
CHEK1
PDGFA
CXCL2
HLA-DRA
GNA15
RALGDS
SATB1
PFKL
GRB7
MAPKAPK2
MKNK1
HSPA1A
PLCB3
PLK1
MYLK
FGFR4
CDKN2A
CDKN1B
GAPDH
CISD1
SPDEF
IGF1R
GSTM2
SPTLC2
TSKU
TMEM2
SLC2A6
EZH2
ICAM3
PHKG2
KDM5B
COG4
MCM3
SNX13
PAK4
DPH2
SNX6
WIPF2
NENF
RPN1
C2CD2L
GABPB1
POLR2K
PAF1
POLR1C
RUVBL1
AKT1
SENP6
EBP
CASK
RRP8
BHLHE40
BDH1
SH3BP5
PPP2R5A
EML3
BIRC5
EPRS
PAX8
PDS5A
XBP1
NMT1
ARFIP2
STAMBP
FAH
PLP2
SOX4
TESK1
HN1L
RRAGA
ELOVL6
ACBD3
PMAIP1
TWF2
HDAC6
PXN
PHKB
CASC3
MLEC
USP22
TMED10
CHERP
TRAPPC6A
ATP2C1
USP14
APPBP2
ECH1
HDAC2
MRPL19
CSNK2A2
KIAA0100
PAICS
CDK2
EFCAB14
WRB
ETFB
CAMSAP2
ARNT2
SPAG7
MAPK1IP1L
MSH6
UBE2C
HS2ST1
TXLNA
DNAJB1
TOPBP1
ABCF1
LGMN
MBTPS1
ZNF274
CLIC4
HSD17B10
STX1A
CCNA2
SDHB
FOXO4
TOMM34
KIAA0907
HK1
PAPD7
PLOD3
TRAK2
VAPB
BUB1B
MRPL12
PNP
USP1
RPA1
KLHDC2
SCARB1
TPM1
TM9SF2
NUP88
FUT1
PRUNE
SYPL1
ZNF451
TRIM13
FBXO7
ENOSF1
LIG1
GNB5
INSIG1
HIST2H2BE
S100A4
KTN1
ARHGAP1
LPAR2
COASY
ATMIN
CASP3
NISCH
CPSF4
COPB2
GADD45A
SMNDC1
NUDCD3
HMGCR
SLC35B1
TIMP2
LSM6
SACM1L
TCERG1
KIAA0196
DNM1
DDIT4
ALAS1
PAFAH1B1
PSRC1
RBM15B
TOMM70A
CBR1
PRKCD
JUN
TMEM50A
SCCPDH
TSC22D3
TFAP2A
ZNF395
VPS72
CLSTN1
MAPK9
POP4
NFE2L2
BLCAP
FAM20B
CRKL
ZNF318
FDFT1
TRAP1
GTF2A2
MTFR1
UBE2A
NIT1
SYNGR3
STK25
ABCF3
FCHO1
OXSR1
SMARCC1
GLOD4
IL4R
KIT
PSMG1
TMEM97
LRRC41
KIF1BP
TCEAL4
NUP133
NUP62
MALT1
YKT6
KIF2C
NNT
IQGAP1
HSPA4
TOP2A
B4GAT1
SCP2
RAD9A
DRAP1
PCMT1
MYC
POLB
CETN3
SMC4
SMARCD2
MPZL1
EBNA1BP2
TATDN2
LRPAP1
TBPL1
RAE1
CDK1
SLC35A1
NIPSNAP1
BCL7B
TIMELESS
DHX29
TCEA2
FHL2
FKBP4
KAT6A
MAP3K4
ZFP36
INPP1
EPB41L2
GNAI2
TSTA3
DNMT1
RAB27A
DDR1
LPGAT1
DUSP11
TP53BP2
CDKN1A
TJP1
ABCB6
MTHFD2
